PassengerId,Survived,Pclass,Sex,Fare,Age
1,0,3,male,7.25,22
2,1,1,female,71.2833,38
3,1,3,female,7.925,26
4,1,1,female,53.1,35
5,0,3,male,8.05,35
6,0,3,male,8.4583,
7,0,1,male,51.8625,54
8,0,3,male,21.075,2
9,1,3,female,11.1333,27
10,1,2,female,30.0708,14
11,1,3,female,16.7,4
12,1,1,female,26.55,58
13,0,3,male,8.05,20
14,0,3,male,31.275,39
15,0,3,female,7.8542,14
16,1,2,female,16,55
17,0,3,male,29.125,2
18,1,2,male,13,
19,0,3,female,18,31
20,1,3,female,7.225,
21,0,2,male,26,35
22,1,2,male,13,34
23,1,3,female,8.0292,15
24,1,1,male,35.5,28
25,0,3,female,21.075,8
26,1,3,female,31.3875,38
27,0,3,male,7.225,
28,0,1,male,263,19
29,1,3,female,7.8792,
30,0,3,male,7.8958,
31,0,1,male,27.7208,40
32,1,1,female,146.5208,
33,1,3,female,7.75,
34,0,2,male,10.5,66
35,0,1,male,82.1708,28
36,0,1,male,52,42
37,1,3,male,7.2292,
38,0,3,male,8.05,21
39,0,3,female,18,18
40,1,3,female,11.2417,14
41,0,3,female,9.475,40
42,0,2,female,21,27
43,0,3,male,7.8958,
44,1,2,female,41.5792,3
45,1,3,female,7.8792,19
46,0,3,male,8.05,
47,0,3,male,15.5,
48,1,3,female,7.75,
49,0,3,male,21.6792,
50,0,3,female,17.8,18
51,0,3,male,39.6875,7
52,0,3,male,7.8,21
53,1,1,female,76.7292,49
54,1,2,female,26,29
55,0,1,male,61.9792,65
56,1,1,male,35.5,
57,1,2,female,10.5,21
58,0,3,male,7.2292,28.5
59,1,2,female,27.75,5
60,0,3,male,46.9,11
61,0,3,male,7.2292,22
62,1,1,female,80,38
63,0,1,male,83.475,45
64,0,3,male,27.9,4
65,0,1,male,27.7208,
66,1,3,male,15.2458,
67,1,2,female,10.5,29
68,0,3,male,8.1583,19
69,1,3,female,7.925,17
70,0,3,male,8.6625,26
71,0,2,male,10.5,32
72,0,3,female,46.9,16
73,0,2,male,73.5,21
74,0,3,male,14.4542,26
75,1,3,male,56.4958,32
76,0,3,male,7.65,25
77,0,3,male,7.8958,
78,0,3,male,8.05,
79,1,2,male,29,0.83
80,1,3,female,12.475,30
81,0,3,male,9,22
82,1,3,male,9.5,29
83,1,3,female,7.7875,
84,0,1,male,47.1,28
85,1,2,female,10.5,17
86,1,3,female,15.85,33
87,0,3,male,34.375,16
88,0,3,male,8.05,
89,1,1,female,263,23
90,0,3,male,8.05,24
91,0,3,male,8.05,29
92,0,3,male,7.8542,20
93,0,1,male,61.175,46
94,0,3,male,20.575,26
95,0,3,male,7.25,59
96,0,3,male,8.05,
97,0,1,male,34.6542,71
98,1,1,male,63.3583,23
99,1,2,female,23,34
100,0,2,male,26,34
101,0,3,female,7.8958,28
102,0,3,male,7.8958,
103,0,1,male,77.2875,21
104,0,3,male,8.6542,33
105,0,3,male,7.925,37
106,0,3,male,7.8958,28
107,1,3,female,7.65,21
108,1,3,male,7.775,
109,0,3,male,7.8958,38
110,1,3,female,24.15,
111,0,1,male,52,47
112,0,3,female,14.4542,14.5
113,0,3,male,8.05,22
114,0,3,female,9.825,20
115,0,3,female,14.4583,17
116,0,3,male,7.925,21
117,0,3,male,7.75,70.5
118,0,2,male,21,29
119,0,1,male,247.5208,24
120,0,3,female,31.275,2
121,0,2,male,73.5,21
122,0,3,male,8.05,
123,0,2,male,30.0708,32.5
124,1,2,female,13,32.5
125,0,1,male,77.2875,54
126,1,3,male,11.2417,12
127,0,3,male,7.75,
128,1,3,male,7.1417,24
129,1,3,female,22.3583,
130,0,3,male,6.975,45
131,0,3,male,7.8958,33
132,0,3,male,7.05,20
133,0,3,female,14.5,47
134,1,2,female,26,29
135,0,2,male,13,25
136,0,2,male,15.0458,23
137,1,1,female,26.2833,19
138,0,1,male,53.1,37
139,0,3,male,9.2167,16
140,0,1,male,79.2,24
141,0,3,female,15.2458,
142,1,3,female,7.75,22
143,1,3,female,15.85,24
144,0,3,male,6.75,19
145,0,2,male,11.5,18
146,0,2,male,36.75,19
147,1,3,male,7.7958,27
148,0,3,female,34.375,9
149,0,2,male,26,36.5
150,0,2,male,13,42
151,0,2,male,12.525,51
152,1,1,female,66.6,22
153,0,3,male,8.05,55.5
154,0,3,male,14.5,40.5
155,0,3,male,7.3125,
156,0,1,male,61.3792,51
157,1,3,female,7.7333,16
158,0,3,male,8.05,30
159,0,3,male,8.6625,
160,0,3,male,69.55,
161,0,3,male,16.1,44
162,1,2,female,15.75,40
163,0,3,male,7.775,26
164,0,3,male,8.6625,17
165,0,3,male,39.6875,1
166,1,3,male,20.525,9
